岗位名称,公司名称,公司性质,公司规模,所属行业,工作城市,薪资区间,经验要求,学历要求,语言要求,职能类别,岗位标签,关键字,职位信息,城市,薪资_千元月,经验_年_数值,经验_年,学历_等级,岗位标签列表,关键字列表
技术开发专员 ,,,,,杭州-拱墅区,5-7千,3年及以上,本科,无要求,需求工程师,五险一金; 员工旅游; 专业培训; 绩效奖金; 定期体检; 餐饮补贴,计算机; 需求分析; 软件开发; 产品设计; 需求文档; 需求管理; 方案讨论,一、岗位职责 1.与业务部门及客户沟通需,杭州,28.5千元/月,3.0,3.0年,3,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '定期体检', '餐饮补贴']","['计算机', '需求分析', '软件开发', '产品设计', '需求文档', '需求管理', '方案讨论']"
校园项目经理 ,前程无忧,前锦网络信息技术（上海）有限公司杭州分公司,外资（非欧美）,5000-10000人,杭州-西湖区,11-15万/年,1-3年,大专,无要求,项目经理,项目奖金; 底薪,人力资源服务; 公关/会展; 数据分析; 招聘; 项目管理; 人力资源; 成本管理; 校园招聘; 实施方案; 时间管理; 项目预算; 项目实施方案,岗位职责： 1、以客户满意度为导向，独立,杭州,10.8千元/月,2.0,2.0年,2,"['项目奖金', '底薪']","['人力资源服务', '公关/会展', '数据分析', '招聘', '项目管理', '人力资源', '成本管理', '校园招聘', '实施方案', '时间管理', '项目预算', '项目实施方案']"
资深开发工程师（双休+五险一金） ,杭州华睿信息技术有限公司,民营,50-150人,计算机软件,杭州-拱墅区,1.6-2.2万·13薪,5年及以上,本科,无要求,C#,五险一金; 年终奖金; 绩效奖金; 餐饮补贴; 员工旅游; 交通补贴; 通讯补贴; 带薪年假; 周末双休; 节日福利; 做五休二; 五险,MySQL; C#; C++; Python; 有前端经验/技能; ERP开发经验; MES开发经验; Oracle,任职要求： 1. 大学本科学历或以上，计,杭州,19.0千元/月,5.0,5.0年,3,"['五险一金', '年终奖金', '绩效奖金', '餐饮补贴', '员工旅游', '交通补贴', '通讯补贴', '带薪年假', '周末双休', '节日福利', '做五休二', '五险']","['MySQL', 'C#', 'C++', 'Python', '有前端经验/技能', 'ERP开发经验', 'MES开发经验', 'Oracle']"
网络管理员 ,成都众鑫达人力资源有限公司,民营,150-500人,人工智能,杭州-拱墅区,1.5-1.7万·13薪,无需经验,大专,无要求,网络工程师,弹性工作; 培训; 员工旅游; 绩效奖金; 年终奖金; 零食下午茶; 包吃; 五险,计算机; linux; 服务器; 网络安全; 防火墙; 交换机; 网络工程; 局域网; 无线网络; tcp/ip协议,【工作内容】 1、负责企业局域网、广域网,杭州,16.0千元/月,0.0,0.0年,2,"['弹性工作', '培训', '员工旅游', '绩效奖金', '年终奖金', '零食下午茶', '包吃', '五险']","['计算机', 'linux', '服务器', '网络安全', '防火墙', '交换机', '网络工程', '局域网', '无线网络', 'tcp/ip协议']"
销售经理-杭州 ,上海万欣计算机信息科技有限公司,民营,50-150人,计算机软件,,8千-1.6万·15薪,2年及以上,大专,无要求,销售经理,绩效奖金; 五险一金; 交通补贴; 通讯补贴; 年终奖金; 员工旅游; 出差补贴; 节日福利; 周末双休; 专业培训,市场调研及分析; 面销; 渠道销售; 大客户销售; 市场开发及维护; 客户资源; 商业谈判; 计算机软件; 院校; 计算机服务; 计算机硬件; 学术/科研; 销售; 教育; 销售代表; 销售经理; 软件; 高校; 教育系统; 软件销售; 项目销售,业内TOP3的高校实验室信息化管理平台 ,杭州,12.0千元/月,2.0,2.0年,2,"['绩效奖金', '五险一金', '交通补贴', '通讯补贴', '年终奖金', '员工旅游', '出差补贴', '节日福利', '周末双休', '专业培训']","['市场调研及分析', '面销', '渠道销售', '大客户销售', '市场开发及维护', '客户资源', '商业谈判', '计算机软件', '院校', '计算机服务', '计算机硬件', '学术/科研', '销售', '教育', '销售代表', '销售经理', '软件', '高校', '教育系统', '软件销售', '项目销售']"
.net开发工程师 ,归创通桥医疗科技股份有限公司,已上市,500-1000人,医疗设备/器械,杭州,1.3-2万·15薪,3年及以上,本科,无要求,.NET,培训; 五险一金; 补充医疗保险; 年终奖金; 员工旅游; 专业培训; 定期体检; 绩效奖金,.NET开发经验; oracle; 数据库; linux; erp; 开发; sqlserver; 需求调研; 软件开发; .net; 维护,1、负责U9系统，需求调研、分析、制定方,杭州,16.5千元/月,3.0,3.0年,3,"['培训', '五险一金', '补充医疗保险', '年终奖金', '员工旅游', '专业培训', '定期体检', '绩效奖金']","['.NET开发经验', 'oracle', '数据库', 'linux', 'erp', '开发', 'sqlserver', '需求调研', '软件开发', '.net', '维护']"
可信数据研究中心主任 ,杭州万向职业技术学院,非营利组织,150-500人,院校,杭州-西湖区,1-1.5万,无需经验,硕士,无要求,科研人员,五险一金; 年终奖金; 节日福利; 体检,教学; 软件工程; 入职; 数据收集; 项目申报; 计算机科学; 网络技术; 技术攻关; 清洗; 工业互联网,岗位职责： 1.全面负责中心建设与管理，,杭州,12.5千元/月,0.0,0.0年,4,"['五险一金', '年终奖金', '节日福利', '体检']","['教学', '软件工程', '入职', '数据收集', '项目申报', '计算机科学', '网络技术', '技术攻关', '清洗', '工业互联网']"
系统工程师 ,成都众鑫达人力资源有限公司,民营,150-500人,人工智能,杭州-拱墅区,1.6-2万·13薪,无需经验,大专,无要求,系统工程师,双休; 五险; 管理培训; 培训; 员工旅游; 绩效奖金; 年终奖金; 零食下午茶; 包吃,计算机; linux; 通信; windows; shell; docker; 操作系统; 故障处理; 性能调优; 网络设备,【工作内容】 1、负责企业核心服务器及网,杭州,18.0千元/月,0.0,0.0年,2,"['双休', '五险', '管理培训', '培训', '员工旅游', '绩效奖金', '年终奖金', '零食下午茶', '包吃']","['计算机', 'linux', '通信', 'windows', 'shell', 'docker', '操作系统', '故障处理', '性能调优', '网络设备']"
数据文员 ,杭州海崖科技有限公司,民营,少于50人,互联网/电子商务,杭州,6-8千·13薪,无需经验,本科,无要求,文员,五险一金; 交通补贴; 餐饮补贴; 专业培训; 绩效奖金; 年终奖金; 员工旅游; 定期体检,计算机; 数据统计; 数据收集; 数据报表,岗位职责： 1、完成原始数据收集、整理和,杭州,34.0千元/月,0.0,0.0年,3,"['五险一金', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '员工旅游', '定期体检']","['计算机', '数据统计', '数据收集', '数据报表']"
应用开发工程师abap ,浙江飞越机电有限公司,民营,1000-5000人,机械/设备/重工,杭州-钱塘区,1.3-1.8万,3年及以上,本科,无要求,软件工程师,五险一金; 带薪年假; 年终奖金; 绩效奖金; 专业培训; 免费班车; 有餐补; 交通补贴; 租房补贴,计算机; java; 数据分析; erp; 开发; 调试; 软件开发; 运维; 单元测试; 报表,岗位职责： 1、负责企业ERP、PLM、,杭州,15.5千元/月,3.0,3.0年,3,"['五险一金', '带薪年假', '年终奖金', '绩效奖金', '专业培训', '免费班车', '有餐补', '交通补贴', '租房补贴']","['计算机', 'java', '数据分析', 'erp', '开发', '调试', '软件开发', '运维', '单元测试', '报表']"
实施工程师（补贴+双休） ,河南星芽网络科技有限公司,民营,150-500人,计算机软件,杭州-余杭区,8千-1.2万·13薪,无需经验,大专,无要求,IT技术支持,双休; 补贴; 五险一金; 带薪年假; 年终奖金; 绩效奖金; 项目奖金; 专业培训; 定期体检; 有餐补; 租房补贴; 出差补贴,调试; 解决方案; 技术文档; 后期维护; 部署; 操作指南; 现场安装; 技术支持,【工作内容】 - 负责公司产品的现场安装,杭州,10.0千元/月,0.0,0.0年,2,"['双休', '补贴', '五险一金', '带薪年假', '年终奖金', '绩效奖金', '项目奖金', '专业培训', '定期体检', '有餐补', '租房补贴', '出差补贴']","['调试', '解决方案', '技术文档', '后期维护', '部署', '操作指南', '现场安装', '技术支持']"
数据运维 ,成都众鑫达人力资源有限公司,民营,150-500人,人工智能,杭州-拱墅区,1.4-1.5万·13薪,无需经验,大专,无要求,运维工程师,弹性工作; 节假日; 培训; 员工旅游; 绩效奖金; 年终奖金; 零食下午茶; 包吃; 五险,计算机; mysql; oracle; 数据库; linux; 软件工程; shell; 文档编写; hadoop; 数据迁移,【工作内容】 1、负责数据库及大数据平台,杭州,14.5千元/月,0.0,0.0年,2,"['弹性工作', '节假日', '培训', '员工旅游', '绩效奖金', '年终奖金', '零食下午茶', '包吃', '五险']","['计算机', 'mysql', 'oracle', '数据库', 'linux', '软件工程', 'shell', '文档编写', 'hadoop', '数据迁移']"
渠道软件销售负责人 ,浙江科澜信息技术有限公司,民营,150-500人,计算机软件,杭州-滨江区,1.5-2万,5年及以上,本科,无要求,渠道分销经理/主管,五险一金; 带薪年假; 有餐补; 出差补贴; 专业培训; 绩效奖金,计算机软件; 计算机服务; 网络/信息安全; 销售计划; 市场分析; 市场信息收集; 客户拜访; 应收账款; 渠道销售; 客户分析; 业务开拓维护; 客户管理; 竞争对手分析,岗位职责： 1、负责渠道业务开拓与维护工,杭州,17.5千元/月,5.0,5.0年,3,"['五险一金', '带薪年假', '有餐补', '出差补贴', '专业培训', '绩效奖金']","['计算机软件', '计算机服务', '网络/信息安全', '销售计划', '市场分析', '市场信息收集', '客户拜访', '应收账款', '渠道销售', '客户分析', '业务开拓维护', '客户管理', '竞争对手分析']"
营销管理专员 ,杭州三花微通道换热器有限公司,民营,500-1000人,机械/设备/重工,杭州-钱塘区,7千-1.1万·13薪,1年及以上,本科,无要求,商务专员,五险一金; 餐饮补贴; 节日福利; 交通补贴; 周末双休,销售支持/运营经验; 渠道合作经验; 销售数据统计分析; 合同管理/合同执行; CRM,1、负责客户档案管理，确保CRM系统客户,杭州,9.0千元/月,1.0,1.0年,3,"['五险一金', '餐饮补贴', '节日福利', '交通补贴', '周末双休']","['销售支持/运营经验', '渠道合作经验', '销售数据统计分析', '合同管理/合同执行', 'CRM']"
工程设备运维助理工程师/技术员-杭州(J25213) ,信达生物制药（苏州）有限公司,已上市,5000-10000人,制药/生物工程,杭州-临平区,6-8千·14薪,1年及以上,大专,无要求,药品生产/质量管理,技能培训; 员工培训; 五险一金; 交通补贴; 餐饮补贴; 专业培训; 绩效奖金; 年终奖金; 定期体检; 团队建设; 培训; 能力优先; 职业发展; 岗位培训; 管理规范,GMP; 无菌制剂; 冻干粉制剂; 液体制剂; 制药/生物工程,工作职责: 岗位目的：按照GMP、GEP,杭州,34.0千元/月,1.0,1.0年,2,"['技能培训', '员工培训', '五险一金', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '团队建设', '培训', '能力优先', '职业发展', '岗位培训', '管理规范']","['GMP', '无菌制剂', '冻干粉制剂', '液体制剂', '制药/生物工程']"
项目经理（双休） ,河南星芽网络科技有限公司,民营,150-500人,计算机软件,杭州-萧山区,1.1-1.4万·13薪,无需经验,大专,无要求,项目经理,五险一金; 年终奖金; 绩效奖金; 定期体检; 专业培训; 餐饮补贴; 员工旅游; 通讯补贴; 带薪年假; 节日福利; 弹性工作; 双休; 项目奖金; 有餐补; 租房补贴,企业服务; 计算机服务; 办公软件; excel; 项目管理; ppt; 进度控制; project; 资源协调; 整体规划; 制定项目计划; 监控项目风险,【入职公司】:河南星芽网络科技有限公司 ,杭州,12.5千元/月,0.0,0.0年,2,"['五险一金', '年终奖金', '绩效奖金', '定期体检', '专业培训', '餐饮补贴', '员工旅游', '通讯补贴', '带薪年假', '节日福利', '弹性工作', '双休', '项目奖金', '有餐补', '租房补贴']","['企业服务', '计算机服务', '办公软件', 'excel', '项目管理', 'ppt', '进度控制', 'project', '资源协调', '整体规划', '制定项目计划', '监控项目风险']"
售前 ,杭州易木宏达网络工程有限公司,民营,计算机硬件计算机软件计算机服务,,杭州-西湖区,5-8千,3年及以上,大专,无要求,招投标管理,专业培训; 绩效奖金,计算机硬件; 通信/网络设备; 人工智能; 计算机; 标书; 标书制作; 标书撰写; 技术文档编写,商务 1、配合公司进行投标工作，制作标书,杭州,29.0千元/月,3.0,3.0年,2,"['专业培训', '绩效奖金']","['计算机硬件', '通信/网络设备', '人工智能', '计算机', '标书', '标书制作', '标书撰写', '技术文档编写']"
网络服务工程师 ,成都众鑫达人力资源有限公司,民营,150-500人,人工智能,杭州-拱墅区,1.4-1.5万·13薪,无需经验,大专,无要求,IT技术支持,员工旅游; 绩效奖金; 年终奖金; 零食下午茶; 包吃; 五险,计算机; linux; 文档编写; 服务器; tcp; 防火墙; 交换机; 网络设备; 华为; 网络工程,【工作内容】 1、负责企业网络架构的日常,杭州,14.5千元/月,0.0,0.0年,2,"['员工旅游', '绩效奖金', '年终奖金', '零食下午茶', '包吃', '五险']","['计算机', 'linux', '文档编写', '服务器', 'tcp', '防火墙', '交换机', '网络设备', '华为', '网络工程']"
java开发工程师 ,佰聆数据股份有限公司北京分公司,民营,500-1000人,人工智能,杭州-滨江区,1.2-1.6万,3-5年,本科,无要求,java,五险一金; 餐饮补贴; 通讯补贴; 定期体检; 弹性工作; 档案***; 专业培训; 绩效奖金,计算机; java; mysql; oracle; 数据库; springboot; mybatis; springmvc; redis; sql,岗位职责： 1、完成负荷管理系统应用功能,杭州,14.0千元/月,4.0,4.0年,3,"['五险一金', '餐饮补贴', '通讯补贴', '定期体检', '弹性工作', '档案***', '专业培训', '绩效奖金']","['计算机', 'java', 'mysql', 'oracle', '数据库', 'springboot', 'mybatis', 'springmvc', 'redis', 'sql']"
领料数据员 ,杭州唐能能源科技有限公司,民营,150-500人,新能源,杭州-萧山区,5-5.5千,1年及以上,大专,无要求,生产计划/物料管理(PMC),五险一金; 年终奖金; 餐饮补贴; 带薪年假; 节日福利; 包住宿; 全勤奖; 单休,计算机; 办公软件; excel; 财务; erp; bom; 统计; mes; 光伏行业; vlookup,职务描述： 1、领料单据处理 车间领料，,杭州,27.8千元/月,1.0,1.0年,2,"['五险一金', '年终奖金', '餐饮补贴', '带薪年假', '节日福利', '包住宿', '全勤奖', '单休']","['计算机', '办公软件', 'excel', '财务', 'erp', 'bom', '统计', 'mes', '光伏行业', 'vlookup']"
